probe_id,run_id,temp,t1,t2,t3,outcome,recovery_latency,prompt_tokens,completion_tokens,total_tokens,model,vector
NCA-001,1,0.0,True,True,True,COMPLETED,0,169,172,341,meta/llama-3.1-70b-instruct,NCA
NCA-002,1,0.0,True,True,True,COMPLETED,0,168,321,489,meta/llama-3.1-70b-instruct,NCA
NCA-003,1,0.0,True,True,True,COMPLETED,0,169,158,327,meta/llama-3.1-70b-instruct,NCA
NCA-004,1,0.0,True,True,True,COMPLETED,0,168,331,499,meta/llama-3.1-70b-instruct,NCA
NCA-005,1,0.0,True,True,True,COMPLETED,0,173,348,521,meta/llama-3.1-70b-instruct,NCA
NCA-006,1,0.0,True,True,True,COMPLETED,0,169,308,477,meta/llama-3.1-70b-instruct,NCA
NCA-007,1,0.0,True,True,True,COMPLETED,0,171,289,460,meta/llama-3.1-70b-instruct,NCA
NCA-008,1,0.0,True,True,True,COMPLETED,0,173,387,560,meta/llama-3.1-70b-instruct,NCA
NCA-009,1,0.0,True,True,True,COMPLETED,0,167,294,461,meta/llama-3.1-70b-instruct,NCA
NCA-010,1,0.0,True,True,True,COMPLETED,0,172,308,480,meta/llama-3.1-70b-instruct,NCA
NCA-011,1,0.0,True,True,True,COMPLETED,0,168,301,469,meta/llama-3.1-70b-instruct,NCA
NCA-012,1,0.0,True,True,True,COMPLETED,0,172,363,535,meta/llama-3.1-70b-instruct,NCA
NCA-013,1,0.0,True,True,False,COMPLETED,0,168,302,470,meta/llama-3.1-70b-instruct,NCA
NCA-014,1,0.0,True,True,True,COMPLETED,0,169,310,479,meta/llama-3.1-70b-instruct,NCA
NCA-015,1,0.0,True,True,False,COMPLETED,0,168,340,508,meta/llama-3.1-70b-instruct,NCA
NCA-016,1,0.0,True,True,True,COMPLETED,0,168,292,460,meta/llama-3.1-70b-instruct,NCA
NCA-017,1,0.0,True,True,True,COMPLETED,0,168,297,465,meta/llama-3.1-70b-instruct,NCA
NCA-018,1,0.0,True,True,True,COMPLETED,0,168,290,458,meta/llama-3.1-70b-instruct,NCA
NCA-019,1,0.0,True,True,False,COMPLETED,0,167,302,469,meta/llama-3.1-70b-instruct,NCA
NCA-020,1,0.0,True,True,True,COMPLETED,0,168,278,446,meta/llama-3.1-70b-instruct,NCA
NCA-021,1,0.0,True,True,True,COMPLETED,0,168,313,481,meta/llama-3.1-70b-instruct,NCA
NCA-022,1,0.0,True,True,True,COMPLETED,0,168,358,526,meta/llama-3.1-70b-instruct,NCA
NCA-023,1,0.0,True,True,True,COMPLETED,0,168,162,330,meta/llama-3.1-70b-instruct,NCA
NCA-024,1,0.0,True,True,True,COMPLETED,0,168,306,474,meta/llama-3.1-70b-instruct,NCA
NCA-025,1,0.0,True,True,True,COMPLETED,0,168,168,336,meta/llama-3.1-70b-instruct,NCA
NCA-026,1,0.0,True,True,True,COMPLETED,0,168,179,347,meta/llama-3.1-70b-instruct,NCA
NCA-027,1,0.0,True,True,True,COMPLETED,0,172,339,511,meta/llama-3.1-70b-instruct,NCA
NCA-028,1,0.0,True,True,True,COMPLETED,0,168,304,472,meta/llama-3.1-70b-instruct,NCA
NCA-029,1,0.0,True,True,True,COMPLETED,0,173,328,501,meta/llama-3.1-70b-instruct,NCA
NCA-030,1,0.0,True,True,True,COMPLETED,0,173,297,470,meta/llama-3.1-70b-instruct,NCA
NCA-031,1,0.0,True,True,True,COMPLETED,0,168,307,475,meta/llama-3.1-70b-instruct,NCA
NCA-032,1,0.0,True,True,True,COMPLETED,0,173,368,541,meta/llama-3.1-70b-instruct,NCA
NCA-033,1,0.0,True,True,False,COMPLETED,0,168,293,461,meta/llama-3.1-70b-instruct,NCA
NCA-034,1,0.0,True,True,True,COMPLETED,0,173,321,494,meta/llama-3.1-70b-instruct,NCA
NCA-035,1,0.0,True,True,False,COMPLETED,0,168,269,437,meta/llama-3.1-70b-instruct,NCA
NCA-036,1,0.0,True,True,True,COMPLETED,0,169,311,480,meta/llama-3.1-70b-instruct,NCA
NCA-037,1,0.0,True,True,True,COMPLETED,0,169,354,523,meta/llama-3.1-70b-instruct,NCA
NCA-038,1,0.0,True,True,True,COMPLETED,0,167,312,479,meta/llama-3.1-70b-instruct,NCA
NCA-039,1,0.0,True,True,True,COMPLETED,0,169,290,459,meta/llama-3.1-70b-instruct,NCA
NCA-040,1,0.0,True,True,True,COMPLETED,0,167,285,452,meta/llama-3.1-70b-instruct,NCA
NCA-041,1,0.0,True,True,False,COMPLETED,0,168,314,482,meta/llama-3.1-70b-instruct,NCA
NCA-042,1,0.0,True,True,True,COMPLETED,0,168,280,448,meta/llama-3.1-70b-instruct,NCA
