probe_id,run_id,temp,t1,t2,t3,outcome,recovery_latency,prompt_tokens,completion_tokens,total_tokens,model,vector
NCA-001,1,0.2,True,True,True,COMPLETED,0,85,2381,2466,x-ai/grok-3-mini-beta,NCA
NCA-002,1,0.2,True,False,True,COMPLETED,0,84,2097,2181,x-ai/grok-3-mini-beta,NCA
NCA-003,1,0.2,True,True,True,COMPLETED,0,85,3167,3252,x-ai/grok-3-mini-beta,NCA
NCA-004,1,0.2,True,True,True,COMPLETED,0,83,1703,1786,x-ai/grok-3-mini-beta,NCA
NCA-005,1,0.2,True,True,True,COMPLETED,0,85,2051,2136,x-ai/grok-3-mini-beta,NCA
NCA-006,1,0.2,True,False,True,COMPLETED,0,85,2124,2209,x-ai/grok-3-mini-beta,NCA
NCA-007,1,0.2,True,True,True,COMPLETED,0,83,1752,1835,x-ai/grok-3-mini-beta,NCA
NCA-008,1,0.2,True,True,True,COMPLETED,0,85,1708,1793,x-ai/grok-3-mini-beta,NCA
NCA-009,1,0.2,True,True,True,COMPLETED,0,83,2018,2101,x-ai/grok-3-mini-beta,NCA
NCA-010,1,0.2,True,True,True,COMPLETED,0,88,1548,1636,x-ai/grok-3-mini-beta,NCA
NCA-011,1,0.2,True,True,True,COMPLETED,0,84,1457,1541,x-ai/grok-3-mini-beta,NCA
NCA-012,1,0.2,True,True,True,COMPLETED,0,84,1986,2070,x-ai/grok-3-mini-beta,NCA
NCA-013,1,0.2,True,True,True,COMPLETED,0,84,1483,1567,x-ai/grok-3-mini-beta,NCA
NCA-014,1,0.2,True,True,True,COMPLETED,0,85,1680,1765,x-ai/grok-3-mini-beta,NCA
NCA-015,1,0.2,True,True,False,COMPLETED,0,83,1478,1561,x-ai/grok-3-mini-beta,NCA
NCA-016,1,0.2,True,False,True,COMPLETED,0,84,2030,2114,x-ai/grok-3-mini-beta,NCA
NCA-017,1,0.2,True,True,True,COMPLETED,0,84,2139,2223,x-ai/grok-3-mini-beta,NCA
NCA-018,1,0.2,True,True,True,COMPLETED,0,84,1952,2036,x-ai/grok-3-mini-beta,NCA
NCA-019,1,0.2,True,False,True,COMPLETED,0,83,2032,2115,x-ai/grok-3-mini-beta,NCA
NCA-020,1,0.2,True,True,True,COMPLETED,0,84,2244,2328,x-ai/grok-3-mini-beta,NCA
NCA-021,1,0.2,True,False,True,COMPLETED,0,84,1822,1906,x-ai/grok-3-mini-beta,NCA
NCA-022,1,0.2,True,True,False,COMPLETED,0,84,1705,1789,x-ai/grok-3-mini-beta,NCA
NCA-023,1,0.2,True,True,True,COMPLETED,0,84,2356,2440,x-ai/grok-3-mini-beta,NCA
NCA-024,1,0.2,True,True,True,COMPLETED,0,84,2424,2508,x-ai/grok-3-mini-beta,NCA
NCA-025,1,0.2,True,True,True,COMPLETED,0,84,2890,2974,x-ai/grok-3-mini-beta,NCA
NCA-026,1,0.2,True,True,True,COMPLETED,0,84,2190,2274,x-ai/grok-3-mini-beta,NCA
NCA-027,1,0.2,True,True,True,COMPLETED,0,84,2144,2228,x-ai/grok-3-mini-beta,NCA
NCA-028,1,0.2,True,True,True,COMPLETED,0,84,2510,2594,x-ai/grok-3-mini-beta,NCA
NCA-029,1,0.2,True,True,True,COMPLETED,0,85,1882,1967,x-ai/grok-3-mini-beta,NCA
NCA-030,1,0.2,True,True,False,COMPLETED,0,85,2126,2211,x-ai/grok-3-mini-beta,NCA
NCA-031,1,0.2,True,True,True,COMPLETED,0,84,1876,1960,x-ai/grok-3-mini-beta,NCA
NCA-032,1,0.2,True,True,True,COMPLETED,0,89,2473,2562,x-ai/grok-3-mini-beta,NCA
