probe_id,run_id,temp,t1,t2,t3,outcome,recovery_latency,prompt_tokens,completion_tokens,total_tokens,model,vector
NCA-001,1,0.8,True,True,True,COMPLETED,0,85,198,283,gpt-4o-mini,NCA
NCA-002,1,0.8,True,True,True,COMPLETED,0,84,149,233,gpt-4o-mini,NCA
NCA-003,1,0.8,True,True,True,COMPLETED,0,85,142,227,gpt-4o-mini,NCA
NCA-004,1,0.8,True,True,True,COMPLETED,0,84,140,224,gpt-4o-mini,NCA
NCA-005,1,0.8,True,True,True,COMPLETED,0,89,168,257,gpt-4o-mini,NCA
NCA-006,1,0.8,True,True,True,COMPLETED,0,85,266,351,gpt-4o-mini,NCA
NCA-007,1,0.8,True,True,True,COMPLETED,0,87,174,261,gpt-4o-mini,NCA
NCA-008,1,0.8,True,True,True,COMPLETED,0,89,319,408,gpt-4o-mini,NCA
NCA-009,1,0.8,True,True,True,COMPLETED,0,83,283,366,gpt-4o-mini,NCA
NCA-010,1,0.8,True,True,True,COMPLETED,0,88,205,293,gpt-4o-mini,NCA
NCA-011,1,0.8,True,True,True,COMPLETED,0,84,318,402,gpt-4o-mini,NCA
NCA-012,1,0.8,True,True,True,COMPLETED,0,88,269,357,gpt-4o-mini,NCA
NCA-013,1,0.8,True,True,True,COMPLETED,0,84,252,336,gpt-4o-mini,NCA
NCA-014,1,0.8,True,True,True,COMPLETED,0,85,311,396,gpt-4o-mini,NCA
NCA-015,1,0.8,True,True,True,COMPLETED,0,84,297,381,gpt-4o-mini,NCA
NCA-016,1,0.8,True,True,True,COMPLETED,0,84,246,330,gpt-4o-mini,NCA
NCA-017,1,0.8,True,True,True,COMPLETED,0,84,195,279,gpt-4o-mini,NCA
NCA-018,1,0.8,True,True,True,COMPLETED,0,84,289,373,gpt-4o-mini,NCA
NCA-019,1,0.8,True,True,True,COMPLETED,0,84,215,299,gpt-4o-mini,NCA
NCA-020,1,0.8,True,True,True,COMPLETED,0,84,203,287,gpt-4o-mini,NCA
NCA-021,1,0.8,True,True,True,COMPLETED,0,84,267,351,gpt-4o-mini,NCA
NCA-022,1,0.8,True,True,True,COMPLETED,0,84,363,447,gpt-4o-mini,NCA
NCA-023,1,0.8,True,True,True,COMPLETED,0,84,131,215,gpt-4o-mini,NCA
NCA-024,1,0.8,True,True,True,COMPLETED,0,84,140,224,gpt-4o-mini,NCA
NCA-025,1,0.8,True,True,True,COMPLETED,0,84,106,190,gpt-4o-mini,NCA
NCA-026,1,0.8,True,True,True,COMPLETED,0,84,134,218,gpt-4o-mini,NCA
NCA-027,1,0.8,True,True,True,COMPLETED,0,88,159,247,gpt-4o-mini,NCA
NCA-028,1,0.8,True,True,True,COMPLETED,0,84,234,318,gpt-4o-mini,NCA
NCA-029,1,0.8,True,True,True,COMPLETED,0,89,235,324,gpt-4o-mini,NCA
NCA-030,1,0.8,True,True,True,COMPLETED,0,89,321,410,gpt-4o-mini,NCA
